,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2017-10-18,@,BOS,W,108,100,38,76,0.500,7,21,0.333,25,30,0.833,6,45,19,6,4,15,22,,39,91,0.429,11,28,0.393,11,21,0.524,11,43,23,12,2,12,27
2,2,2017-10-20,,CLE,L,97,116,38,82,0.463,11,35,0.314,10,12,0.833,8,30,23,9,2,14,17,,44,81,0.543,11,26,0.423,17,17,1.000,9,44,25,8,3,17,11
3,3,2017-10-21,,POR,W,113,110,42,80,0.525,7,18,0.389,22,30,0.733,7,35,22,9,8,14,23,,34,81,0.420,11,28,0.393,31,35,0.886,13,42,18,10,6,16,22
4,4,2017-10-23,,CHO,W,103,94,40,85,0.471,9,26,0.346,14,16,0.875,5,42,24,8,4,13,27,,33,78,0.423,7,26,0.269,21,36,0.583,10,48,17,3,5,14,21
5,5,2017-10-26,,BOS,L,89,96,35,77,0.455,11,25,0.440,8,14,0.571,2,37,22,6,3,16,20,,33,78,0.423,11,30,0.367,19,22,0.864,6,45,21,7,4,15,14
6,6,2017-10-29,@,ATL,W,117,106,44,81,0.543,13,26,0.500,16,21,0.762,5,43,30,9,3,14,27,,36,77,0.468,13,29,0.448,21,26,0.808,3,31,27,9,2,16,21
7,7,2017-10-31,,OKC,L,91,110,32,77,0.416,9,31,0.290,18,22,0.818,4,31,24,8,4,14,22,,40,81,0.494,12,28,0.429,18,21,0.857,9,46,24,6,3,15,20
8,8,2017-11-01,@,CHO,L,121,126,45,91,0.495,19,36,0.528,12,15,0.800,9,40,29,3,3,14,25,,45,84,0.536,14,25,0.560,22,29,0.759,7,41,21,5,3,11,18
9,9,2017-11-03,@,DET,L,96,105,39,83,0.470,10,25,0.400,8,9,0.889,7,36,27,6,6,13,24,,37,78,0.474,8,26,0.308,23,28,0.821,7,39,21,10,4,12,11
