,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
10,10,2017-11-07,@,CLE,L,119,124,47,83,0.566,13,30,0.433,12,16,0.750,8,36,29,6,8,16,31,,41,82,0.500,9,18,0.500,33,38,0.868,12,39,18,7,4,12,16
11,11,2017-11-10,@,SAS,W,94,87,41,89,0.461,5,18,0.278,7,14,0.500,11,47,27,10,7,13,13,,34,80,0.425,9,29,0.310,10,11,0.909,9,43,23,8,6,18,15
12,12,2017-11-11,,LAL,W,98,90,35,85,0.412,6,23,0.261,22,26,0.846,9,42,16,11,4,12,27,,31,74,0.419,6,22,0.273,22,37,0.595,8,48,21,7,9,21,22
13,13,2017-11-13,,MEM,W,110,103,40,82,0.488,12,22,0.545,18,25,0.720,10,36,23,6,5,9,19,,37,76,0.487,11,26,0.423,18,21,0.857,8,37,21,5,1,14,25
14,14,2017-11-15,,DET,W,99,95,38,78,0.487,8,22,0.364,15,20,0.750,11,43,24,10,16,15,19,,30,85,0.353,15,37,0.405,20,23,0.870,17,45,23,7,3,16,20
15,15,2017-11-18,@,DAL,L,79,111,28,74,0.378,6,25,0.240,17,31,0.548,8,38,13,8,5,12,25,,38,79,0.481,19,38,0.500,16,19,0.842,7,49,27,7,2,16,26
16,16,2017-11-20,,WAS,L,88,99,35,79,0.443,4,22,0.182,14,19,0.737,6,33,17,10,7,9,19,,39,74,0.527,9,24,0.375,12,17,0.706,8,46,23,4,1,16,18
17,17,2017-11-22,@,PHO,W,113,107,42,97,0.433,8,29,0.276,21,31,0.677,13,42,19,16,6,14,30,,37,93,0.398,7,22,0.318,26,33,0.788,22,60,15,7,9,29,26
18,18,2017-11-25,@,UTA,L,108,121,41,77,0.532,8,21,0.381,18,23,0.783,8,40,19,5,6,16,21,,46,81,0.568,18,32,0.563,11,19,0.579,5,30,31,8,2,10,19
19,19,2017-11-28,@,SAC,W,112,87,42,71,0.592,9,22,0.409,19,31,0.613,1,38,27,13,5,12,22,,31,77,0.403,5,17,0.294,20,29,0.690,9,40,15,5,2,16,21
20,20,2017-11-30,@,POR,W,103,91,42,87,0.483,6,20,0.300,13,15,0.867,5,35,19,11,5,9,20,,35,83,0.422,6,23,0.261,15,17,0.882,10,50,17,5,3,19,14
21,21,2017-12-02,,SAC,W,109,104,34,69,0.493,6,19,0.316,35,42,0.833,9,36,20,9,6,15,18,,37,77,0.481,11,24,0.458,19,21,0.905,6,33,20,7,1,15,28
22,22,2017-12-04,@,BOS,L,100,111,35,78,0.449,9,21,0.429,21,24,0.875,3,28,17,6,2,9,17,,43,78,0.551,10,22,0.455,15,19,0.789,8,45,25,5,3,14,20
23,23,2017-12-06,,DET,W,104,100,39,79,0.494,8,22,0.364,18,26,0.692,13,41,22,7,5,12,21,,36,87,0.414,10,30,0.333,18,27,0.667,17,46,20,5,0,11,20
24,24,2017-12-08,,DAL,W,109,102,36,79,0.456,8,24,0.333,29,34,0.853,7,40,20,10,6,10,24,,35,75,0.467,10,24,0.417,22,26,0.846,4,36,18,6,2,11,22
25,25,2017-12-09,,UTA,W,117,100,44,81,0.543,7,17,0.412,22,26,0.846,8,41,22,8,6,11,29,,33,76,0.434,8,23,0.348,26,37,0.703,9,35,20,7,3,16,23
26,26,2017-12-13,@,NOP,L,108,115,44,95,0.463,8,27,0.296,12,19,0.632,15,38,23,14,5,9,13,,45,80,0.563,13,25,0.520,12,15,0.800,9,41,35,5,8,21,16
27,27,2017-12-15,,CHI,L,109,115,40,83,0.482,9,33,0.273,20,29,0.690,9,43,24,6,5,11,24,,42,86,0.488,8,22,0.364,23,35,0.657,14,50,24,8,0,12,26
28,28,2017-12-16,@,HOU,L,111,115,38,82,0.463,8,27,0.296,27,33,0.818,8,40,17,12,7,14,34,,35,76,0.461,11,35,0.314,34,42,0.810,4,38,16,7,4,15,23
29,29,2017-12-19,,CLE,W,119,116,43,82,0.524,11,29,0.379,22,27,0.815,8,40,27,12,3,14,18,,40,80,0.500,16,41,0.390,20,24,0.833,7,37,26,9,3,14,20
30,30,2017-12-22,,CHO,W,109,104,41,87,0.471,8,29,0.276,19,23,0.826,6,43,27,7,5,7,16,,39,88,0.443,12,26,0.462,14,17,0.824,9,43,21,4,7,9,18
31,31,2017-12-23,@,CHO,L,106,111,42,87,0.483,8,26,0.308,14,17,0.824,7,35,25,4,2,9,32,,36,74,0.486,9,21,0.429,30,40,0.750,9,43,22,2,7,16,20
32,32,2017-12-26,,CHI,L,106,115,39,83,0.470,10,31,0.323,18,24,0.750,4,41,23,2,8,17,21,,45,103,0.437,10,28,0.357,15,25,0.600,15,47,26,11,3,6,19
33,33,2017-12-28,,MIN,W,102,96,41,75,0.547,5,15,0.333,15,16,0.938,7,36,23,10,0,16,18,,34,71,0.479,9,28,0.321,19,26,0.731,6,33,20,9,3,16,14
34,34,2017-12-29,@,OKC,W,97,95,40,85,0.471,9,29,0.310,8,17,0.471,12,43,26,9,7,9,23,,38,83,0.458,7,25,0.280,12,20,0.600,10,45,16,5,5,12,19
35,35,2018-01-01,@,TOR,L,127,131,44,93,0.473,13,27,0.481,26,28,0.929,10,43,27,9,3,14,23,,45,91,0.495,14,33,0.424,27,33,0.818,6,40,25,8,8,12,20
36,36,2018-01-03,,IND,W,122,101,44,75,0.587,9,17,0.529,25,28,0.893,6,34,33,8,5,16,23,,41,84,0.488,3,15,0.200,16,19,0.842,8,30,24,7,2,14,20
37,37,2018-01-05,,TOR,L,110,129,41,77,0.532,7,17,0.412,21,29,0.724,5,28,26,4,4,11,23,,48,86,0.558,10,33,0.303,23,28,0.821,12,43,25,9,5,11,22
38,38,2018-01-06,@,WAS,W,110,103,39,80,0.488,7,22,0.318,25,30,0.833,10,45,20,11,6,15,26,,37,78,0.474,8,21,0.381,21,29,0.724,4,34,25,6,6,14,22
39,39,2018-01-08,@,IND,L,96,109,34,74,0.459,7,27,0.259,21,27,0.778,5,34,18,11,4,17,24,,44,79,0.557,7,22,0.318,14,20,0.700,8,40,30,9,5,16,23
40,40,2018-01-10,,ORL,W,110,103,45,82,0.549,4,19,0.211,16,25,0.640,11,47,20,4,9,14,21,,39,90,0.433,8,29,0.276,17,18,0.944,8,34,26,6,4,8,21
41,41,2018-01-12,,GSW,L,94,108,36,85,0.424,11,28,0.393,11,12,0.917,8,33,21,9,6,12,20,,44,79,0.557,5,15,0.333,15,18,0.833,10,43,28,7,3,11,13
42,42,2018-01-14,@,MIA,L,79,97,25,79,0.316,4,28,0.143,25,27,0.926,8,40,9,8,1,15,23,,35,76,0.461,11,29,0.379,16,20,0.800,3,49,23,8,8,13,18
43,43,2018-01-15,@,WAS,W,104,95,38,81,0.469,8,16,0.500,20,29,0.690,15,44,21,14,6,17,25,,32,76,0.421,6,21,0.286,25,31,0.806,11,39,19,10,8,23,22
44,44,2018-01-17,,MIA,L,101,106,33,76,0.434,11,28,0.393,24,32,0.750,5,38,23,6,4,9,25,,38,82,0.463,10,24,0.417,20,27,0.741,10,46,28,4,7,15,28
45,45,2018-01-20,@,PHI,L,94,116,33,82,0.402,10,32,0.313,18,22,0.818,8,35,20,10,3,17,20,,45,85,0.529,10,25,0.400,16,19,0.842,11,45,32,9,4,16,18
46,46,2018-01-22,,PHO,W,109,105,38,71,0.535,5,17,0.294,28,37,0.757,8,32,20,14,5,17,22,,39,79,0.494,9,26,0.346,18,20,0.900,9,34,31,12,2,21,26
47,47,2018-01-26,,BRK,W,116,91,43,83,0.518,12,23,0.522,18,20,0.900,3,44,28,9,6,9,17,,33,89,0.371,8,34,0.235,17,20,0.850,11,45,18,5,2,14,19
48,48,2018-01-28,@,CHI,W,110,96,41,77,0.532,13,28,0.464,15,25,0.600,7,43,28,11,4,14,16,,36,87,0.414,12,34,0.353,12,15,0.800,10,41,25,8,2,16,18
49,49,2018-01-29,,PHI,W,107,95,38,80,0.475,11,28,0.393,20,22,0.909,8,42,26,6,8,9,19,,36,82,0.439,2,26,0.077,21,23,0.913,10,43,22,5,4,14,17
50,50,2018-02-01,@,MIN,L,89,108,32,85,0.376,6,29,0.207,19,25,0.760,15,43,19,6,1,15,21,,42,78,0.538,7,19,0.368,17,20,0.850,4,39,27,8,7,13,15
51,51,2018-02-02,,NYK,W,92,90,33,76,0.434,7,24,0.292,19,26,0.731,4,36,18,10,8,11,21,,36,89,0.404,5,25,0.200,13,17,0.765,18,57,24,7,4,18,21
52,52,2018-02-04,@,BRK,W,109,94,42,81,0.519,8,19,0.421,17,21,0.810,14,54,19,3,7,13,16,,37,90,0.411,9,29,0.310,11,14,0.786,11,36,25,5,1,9,19
53,53,2018-02-06,@,NYK,W,103,89,37,82,0.451,8,26,0.308,21,27,0.778,8,43,23,11,6,14,17,,37,89,0.416,5,23,0.217,10,15,0.667,11,47,20,5,6,17,19
54,54,2018-02-09,@,MIA,L,85,91,32,76,0.421,6,20,0.300,15,17,0.882,2,37,18,9,9,17,20,,32,88,0.364,10,26,0.385,17,18,0.944,13,51,16,7,7,16,21
55,55,2018-02-10,@,ORL,W,111,104,43,82,0.524,9,25,0.360,16,20,0.800,8,41,28,7,4,12,16,,37,83,0.446,8,30,0.267,22,26,0.846,10,41,23,7,3,12,14
56,56,2018-02-13,,ATL,W,97,92,38,88,0.432,8,25,0.320,13,17,0.765,14,48,23,6,10,10,18,,33,86,0.384,12,35,0.343,14,20,0.700,14,50,21,7,6,12,14
57,57,2018-02-15,,DEN,L,123,134,49,92,0.533,9,26,0.346,16,22,0.727,11,40,27,9,5,16,20,,47,85,0.553,24,40,0.600,16,20,0.800,8,34,37,9,6,18,23
58,58,2018-02-23,@,TOR,W,122,119,43,90,0.478,13,26,0.500,23,27,0.852,13,51,21,6,3,18,24,,43,90,0.478,9,34,0.265,24,26,0.923,5,37,23,7,8,12,21
59,59,2018-02-25,,NOP,L,121,123,44,96,0.458,7,25,0.280,26,29,0.897,9,44,21,10,3,13,19,,51,107,0.477,10,30,0.333,11,14,0.786,11,50,22,8,7,15,24
60,60,2018-02-27,,WAS,L,104,107,35,77,0.455,10,26,0.385,24,28,0.857,8,40,20,10,9,16,20,,42,88,0.477,7,20,0.350,16,22,0.727,9,40,30,9,6,11,22
61,61,2018-02-28,@,DET,L,87,110,28,73,0.384,8,24,0.333,23,28,0.821,6,35,16,7,3,13,20,,42,95,0.442,9,29,0.310,17,22,0.773,22,57,26,9,0,9,20
62,62,2018-03-02,,IND,L,96,103,31,81,0.383,9,25,0.360,25,32,0.781,14,43,15,9,13,15,24,,37,83,0.446,6,16,0.375,23,30,0.767,13,48,19,12,4,14,23
63,63,2018-03-04,,PHI,W,118,110,47,95,0.495,10,23,0.435,14,22,0.636,16,38,27,15,4,13,24,,39,70,0.557,14,28,0.500,18,22,0.818,6,32,26,4,9,26,24
64,64,2018-03-05,@,IND,L,89,92,34,76,0.447,7,23,0.304,14,16,0.875,8,39,15,8,7,16,16,,33,77,0.429,10,17,0.588,16,21,0.762,8,37,18,13,5,14,15
65,65,2018-03-07,,HOU,L,99,110,38,83,0.458,9,28,0.321,14,19,0.737,6,38,21,9,3,13,22,,39,82,0.476,14,40,0.350,18,27,0.667,12,47,22,9,5,16,21
66,66,2018-03-09,,NYK,W,120,112,41,73,0.562,8,18,0.444,30,39,0.769,6,42,29,8,6,14,16,,47,98,0.480,7,28,0.250,11,14,0.786,11,39,24,6,5,11,26
67,67,2018-03-12,@,MEM,W,121,103,47,81,0.580,12,25,0.480,15,22,0.682,11,47,33,6,5,18,22,,42,89,0.472,9,27,0.333,10,19,0.526,10,31,27,6,5,9,23
68,68,2018-03-14,@,ORL,L,117,126,49,98,0.500,10,24,0.417,9,12,0.750,9,37,28,12,5,11,20,,44,87,0.506,18,34,0.529,20,23,0.870,9,42,31,10,4,17,16
69,69,2018-03-17,,ATL,W,122,117,41,86,0.477,11,25,0.440,29,32,0.906,9,44,31,12,8,12,24,,39,85,0.459,12,36,0.333,27,28,0.964,8,44,23,7,4,19,25
70,70,2018-03-19,@,CLE,L,117,124,45,88,0.511,8,31,0.258,19,20,0.950,8,32,26,11,7,15,23,,43,87,0.494,15,38,0.395,23,27,0.852,12,42,24,4,6,13,17
71,71,2018-03-21,,LAC,L,120,127,50,91,0.549,8,26,0.308,12,17,0.706,8,33,33,10,5,14,20,,45,86,0.523,15,30,0.500,22,29,0.759,16,47,26,12,3,19,16
72,72,2018-03-23,@,CHI,W,118,105,43,87,0.494,15,30,0.500,17,19,0.895,7,36,27,8,7,5,20,,36,87,0.414,12,26,0.462,21,23,0.913,17,51,21,3,2,14,21
73,73,2018-03-25,,SAS,W,106,103,42,86,0.488,9,27,0.333,13,18,0.722,9,37,27,6,6,10,18,,41,92,0.446,4,17,0.235,17,21,0.810,20,53,16,4,2,12,17
74,74,2018-03-27,@,LAC,L,98,105,38,83,0.458,6,23,0.261,16,23,0.696,8,44,24,12,11,16,14,,40,86,0.465,15,28,0.536,10,18,0.556,8,41,23,8,4,13,23
75,75,2018-03-29,@,GSW,W,116,107,48,87,0.552,11,20,0.550,9,10,0.900,7,36,30,16,3,15,17,,41,75,0.547,10,20,0.500,15,15,1.000,2,31,26,10,7,18,19
76,76,2018-03-30,@,LAL,W,124,122,45,94,0.479,11,29,0.379,23,28,0.821,8,39,24,14,6,12,25,,48,94,0.511,8,27,0.296,18,25,0.720,15,56,33,5,3,18,23
77,77,2018-04-01,@,DEN,L,125,128,45,100,0.450,12,33,0.364,23,27,0.852,11,45,27,9,3,9,37,,40,90,0.444,11,36,0.306,37,46,0.804,17,57,27,2,8,17,23
78,78,2018-04-03,,BOS,W,106,102,43,79,0.544,5,20,0.250,15,21,0.714,9,41,27,6,5,15,23,,38,81,0.469,7,23,0.304,19,24,0.792,10,37,19,10,6,17,17
79,79,2018-04-05,,BRK,L,111,119,41,93,0.441,5,20,0.250,24,30,0.800,12,41,21,12,2,8,19,,41,75,0.547,19,39,0.487,18,21,0.857,4,41,30,3,12,17,21
80,80,2018-04-07,@,NYK,W,115,102,45,93,0.484,10,25,0.400,15,17,0.882,12,48,30,6,10,10,13,,41,95,0.432,9,21,0.429,11,11,1.000,13,44,30,3,7,8,17
81,81,2018-04-09,,ORL,W,102,86,39,91,0.429,9,26,0.346,15,18,0.833,12,56,26,13,2,16,18,,34,82,0.415,5,24,0.208,13,20,0.650,5,43,24,8,4,19,14
82,82,2018-04-11,@,PHI,L,95,130,37,90,0.411,7,25,0.280,14,16,0.875,10,43,22,6,5,20,17,,52,105,0.495,15,36,0.417,11,15,0.733,17,57,35,15,7,12,17
