,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
70,70,2018-03-16,@,GSW,W,98,93,36,83,0.434,14,31,0.452,12,17,0.706,11,47,25,7,4,13,16,,34,81,0.420,12,26,0.462,13,18,0.722,9,40,21,10,5,11,21
71,71,2018-03-17,@,UTA,L,97,103,37,86,0.430,14,21,0.667,9,14,0.643,3,33,23,11,5,13,30,,33,74,0.446,6,24,0.250,31,38,0.816,8,48,21,8,8,15,13
72,72,2018-03-19,,DET,L,90,106,40,88,0.455,6,23,0.261,4,9,0.444,8,39,23,7,3,13,21,,37,79,0.468,14,29,0.483,18,22,0.818,6,44,17,6,5,9,11
73,73,2018-03-22,,ATL,W,105,90,43,93,0.462,10,21,0.476,9,9,1.000,12,51,28,8,9,13,18,,33,84,0.393,12,36,0.333,12,18,0.667,6,40,19,7,2,12,10
74,74,2018-03-25,,BOS,L,93,104,38,82,0.463,7,26,0.269,10,10,1.000,7,34,18,7,1,14,16,,40,72,0.556,12,22,0.545,12,17,0.706,3,35,23,9,2,15,11
75,75,2018-03-27,,DAL,L,97,103,38,93,0.409,6,23,0.261,15,19,0.789,10,45,25,6,6,10,22,,36,80,0.450,14,40,0.350,17,25,0.680,4,43,25,7,9,10,17
76,76,2018-03-29,,IND,L,103,106,42,78,0.538,13,31,0.419,6,9,0.667,6,32,27,3,2,18,24,,40,80,0.500,8,26,0.308,18,20,0.900,7,34,23,9,4,10,17
77,77,2018-03-31,,GSW,L,96,112,36,87,0.414,8,28,0.286,16,19,0.842,11,47,27,5,6,15,23,,41,83,0.494,9,26,0.346,21,28,0.750,6,42,28,9,6,10,18
78,78,2018-04-01,@,LAL,W,84,83,35,92,0.380,7,24,0.292,7,14,0.500,13,47,17,9,5,10,20,,30,75,0.400,7,32,0.219,16,25,0.640,10,47,18,5,6,14,15
79,79,2018-04-03,@,PHO,L,94,97,33,89,0.371,11,27,0.407,17,23,0.739,10,40,20,5,5,10,24,,35,77,0.455,6,17,0.353,21,33,0.636,6,52,18,6,5,14,22
80,80,2018-04-06,@,MEM,W,94,93,40,85,0.471,6,24,0.250,8,12,0.667,10,42,23,8,5,15,21,,37,84,0.440,6,24,0.250,13,18,0.722,12,38,20,7,7,15,12
81,81,2018-04-09,@,SAS,L,85,98,33,81,0.407,8,18,0.444,11,17,0.647,12,45,16,4,2,12,24,,34,82,0.415,6,27,0.222,24,29,0.828,11,45,18,6,6,8,14
82,82,2018-04-11,,HOU,W,96,83,38,80,0.475,7,26,0.269,13,20,0.650,6,48,22,6,3,11,14,,31,82,0.378,13,46,0.283,8,12,0.667,8,40,11,2,6,14,24
