,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
43,43,2019-01-12,,CHO,W,104,97,41,99,0.414,14,37,0.378,8,12,0.667,12,49,27,8,5,11,21,,36,88,0.409,12,36,0.333,13,22,0.591,13,56,21,6,11,18,17
44,44,2019-01-14,,POR,W,115,107,43,87,0.494,10,26,0.385,19,24,0.792,11,48,24,6,6,13,23,,37,92,0.402,10,31,0.323,23,29,0.793,17,49,22,6,3,14,23
45,45,2019-01-17,@,CHO,L,95,114,39,88,0.443,11,33,0.333,6,13,0.462,11,42,28,7,3,17,22,,39,87,0.448,11,38,0.289,25,29,0.862,12,46,21,11,4,13,16
46,46,2019-01-19,@,DET,W,103,101,40,89,0.449,10,25,0.400,13,18,0.722,11,39,30,5,5,11,20,,36,82,0.439,10,29,0.345,19,25,0.760,13,46,21,6,2,14,23
47,47,2019-01-21,@,BRK,L,94,123,39,93,0.419,10,25,0.400,6,11,0.545,10,37,26,8,4,14,20,,45,90,0.500,13,35,0.371,20,24,0.833,12,56,25,9,4,16,15
48,48,2019-01-22,@,TOR,L,105,120,41,91,0.451,7,21,0.333,16,22,0.727,10,43,29,8,7,14,27,,40,91,0.440,16,40,0.400,24,35,0.686,12,46,25,7,5,16,21
49,49,2019-01-25,@,MEM,W,99,96,37,91,0.407,12,33,0.364,13,17,0.765,12,49,23,11,5,17,25,,34,80,0.425,6,20,0.300,22,27,0.815,9,44,22,13,5,16,22
50,50,2019-01-27,@,LAC,L,108,122,37,93,0.398,8,36,0.222,26,30,0.867,15,44,18,12,6,12,26,,42,88,0.477,11,29,0.379,27,29,0.931,14,52,35,6,1,18,28
51,51,2019-01-30,,ATL,W,135,113,54,99,0.545,11,35,0.314,16,21,0.762,15,53,36,7,2,14,24,,38,86,0.442,16,46,0.348,21,25,0.840,9,36,24,7,3,20,19
52,52,2019-02-02,,PHI,W,115,108,42,92,0.457,11,30,0.367,20,24,0.833,12,50,22,9,2,16,19,,41,93,0.441,7,33,0.212,19,25,0.760,14,46,19,9,5,13,22
53,53,2019-02-04,,SAS,W,127,112,50,90,0.556,13,32,0.406,14,23,0.609,8,48,26,5,5,8,18,,42,98,0.429,9,32,0.281,19,21,0.905,15,46,18,6,3,8,20
54,54,2019-02-06,,HOU,L,101,127,39,91,0.429,11,33,0.333,12,20,0.600,20,54,21,5,6,22,22,,45,100,0.450,20,51,0.392,17,18,0.944,13,42,17,13,7,11,19
55,55,2019-02-08,,MIA,W,102,96,37,90,0.411,9,26,0.346,19,25,0.760,10,46,18,11,5,13,17,,38,88,0.432,11,33,0.333,9,19,0.474,11,49,26,6,8,18,21
56,56,2019-02-10,,PHO,W,117,104,38,84,0.452,9,31,0.290,32,44,0.727,11,49,26,12,11,12,21,,38,91,0.418,6,27,0.222,22,30,0.733,15,54,22,5,4,17,31
57,57,2019-02-13,@,DEN,L,118,120,42,93,0.452,11,32,0.344,23,28,0.821,10,44,30,12,1,12,23,,45,99,0.455,8,31,0.258,22,25,0.880,14,53,26,7,1,13,19
58,58,2019-02-21,@,GSW,L,123,125,43,99,0.434,10,33,0.303,27,34,0.794,14,52,23,10,3,13,24,,43,94,0.457,19,46,0.413,20,24,0.833,8,49,32,5,11,15,26
59,59,2019-02-23,@,OKC,W,119,116,44,97,0.454,7,19,0.368,24,34,0.706,7,47,24,7,7,9,21,,40,105,0.381,14,46,0.304,22,28,0.786,16,59,17,2,6,14,26
60,60,2019-02-25,@,MIN,L,105,112,37,95,0.389,9,26,0.346,22,29,0.759,14,44,20,13,2,19,27,,42,83,0.506,8,31,0.258,20,28,0.714,7,49,23,10,6,22,28
61,61,2019-02-27,,MIL,L,140,141,53,118,0.449,12,33,0.364,22,30,0.733,15,58,30,6,6,8,19,,54,112,0.482,17,45,0.378,16,21,0.762,11,57,36,3,14,11,18
62,62,2019-03-01,,LAC,L,109,116,41,93,0.441,6,21,0.286,21,25,0.840,8,46,27,6,8,8,25,,40,92,0.435,12,31,0.387,24,33,0.727,16,58,19,4,6,11,23
63,63,2019-03-04,,NYK,W,115,108,39,83,0.470,11,29,0.379,26,33,0.788,6,43,28,11,3,13,24,,39,85,0.459,12,29,0.414,18,28,0.643,10,48,17,8,5,17,25
64,64,2019-03-06,,BOS,L,109,111,40,80,0.500,13,29,0.448,16,22,0.727,6,40,23,8,4,15,21,,40,79,0.506,13,33,0.394,18,21,0.857,3,35,26,11,1,17,22
65,65,2019-03-09,@,NYK,W,102,94,36,95,0.379,12,36,0.333,18,22,0.818,11,53,16,5,3,7,14,,35,94,0.372,10,35,0.286,14,21,0.667,13,58,16,3,5,9,20
66,66,2019-03-11,@,WAS,L,115,121,41,91,0.451,9,27,0.333,24,32,0.750,9,47,28,8,3,16,25,,40,86,0.465,14,37,0.378,27,33,0.818,7,47,29,12,1,17,25
67,67,2019-03-14,@,BOS,L,120,126,48,95,0.505,11,34,0.324,13,23,0.565,8,47,31,9,2,10,24,,49,97,0.505,9,28,0.321,19,26,0.731,10,52,32,7,2,13,20
68,68,2019-03-15,@,PHI,L,114,123,43,94,0.457,9,27,0.333,19,24,0.792,10,40,23,4,2,8,22,,46,91,0.505,7,24,0.292,24,27,0.889,10,49,28,7,6,10,18
69,69,2019-03-17,,CHI,W,129,102,54,103,0.524,8,23,0.348,13,16,0.813,15,48,28,12,7,10,21,,39,88,0.443,10,26,0.385,14,21,0.667,10,39,20,6,6,19,16
70,70,2019-03-19,,BRK,L,121,123,49,95,0.516,9,25,0.360,14,20,0.700,14,46,25,13,1,20,19,,47,94,0.500,12,35,0.343,17,23,0.739,11,41,28,16,4,18,19
71,71,2019-03-21,,DAL,W,116,100,41,87,0.471,13,35,0.371,21,28,0.750,12,58,24,7,9,12,18,,36,92,0.391,12,40,0.300,16,23,0.696,9,43,23,5,6,7,22
72,72,2019-03-23,,PHO,W,112,103,39,92,0.424,17,38,0.447,17,22,0.773,13,51,25,7,3,14,19,,36,88,0.409,9,34,0.265,22,26,0.846,10,43,25,10,4,14,21
73,73,2019-03-24,@,LAL,L,106,111,39,104,0.375,14,33,0.424,14,23,0.609,16,50,27,13,4,7,22,,39,85,0.459,13,40,0.325,20,24,0.833,9,56,29,4,8,20,22
74,74,2019-03-26,@,DAL,W,125,121,44,87,0.506,10,23,0.435,27,32,0.844,12,37,27,4,1,7,23,,39,77,0.506,15,45,0.333,28,32,0.875,7,38,27,1,6,11,26
75,75,2019-03-28,@,NOP,L,118,121,47,95,0.495,10,23,0.435,14,16,0.875,8,44,28,6,10,12,19,,49,97,0.505,9,28,0.321,14,14,1.000,8,45,27,6,6,12,16
76,76,2019-03-30,@,HOU,L,108,119,42,94,0.447,15,29,0.517,9,15,0.600,16,49,28,3,4,12,17,,39,83,0.470,17,52,0.327,24,27,0.889,6,38,19,6,2,9,17
77,77,2019-03-31,@,SAS,W,113,106,39,81,0.481,11,25,0.440,24,28,0.857,7,42,20,9,1,12,15,,44,94,0.468,8,27,0.296,10,14,0.714,15,42,24,7,3,11,22
78,78,2019-04-02,,HOU,L,105,130,42,95,0.442,7,23,0.304,14,20,0.700,16,51,19,3,4,11,15,,46,94,0.489,26,61,0.426,12,17,0.706,8,43,30,8,3,7,20
79,79,2019-04-04,,CLE,W,117,104,48,97,0.495,14,38,0.368,7,10,0.700,8,36,28,12,3,6,14,,44,81,0.543,11,25,0.440,5,9,0.556,10,50,20,3,1,20,13
80,80,2019-04-05,@,UTA,L,98,119,38,92,0.413,5,21,0.238,17,25,0.680,12,47,17,7,1,18,23,,44,85,0.518,15,33,0.455,16,25,0.640,7,46,30,9,6,16,26
81,81,2019-04-07,,NOP,L,129,133,50,109,0.459,16,40,0.400,13,17,0.765,16,47,27,10,4,6,13,,52,101,0.515,19,42,0.452,10,12,0.833,14,55,28,4,11,15,16
82,82,2019-04-10,@,POR,L,131,136,50,96,0.521,18,43,0.419,13,16,0.813,12,35,25,5,1,10,17,,53,91,0.582,14,24,0.583,16,22,0.727,14,44,19,5,2,12,17
