,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2018-10-17,,UTA,L,117,123,49,95,0.516,7,19,0.368,12,18,0.667,5,37,17,8,3,9,27,,41,79,0.519,13,27,0.481,28,38,0.737,5,44,21,8,4,17,19
2,2,2018-10-19,@,NOP,L,129,149,50,96,0.521,10,25,0.400,19,26,0.731,9,39,24,6,2,13,26,,56,95,0.589,16,31,0.516,21,33,0.636,12,52,35,6,4,16,25
3,3,2018-10-21,@,OKC,W,131,120,50,91,0.549,10,22,0.455,21,28,0.750,12,46,28,11,7,17,26,,46,104,0.442,9,39,0.231,19,30,0.633,18,51,23,11,9,18,29
4,4,2018-10-23,@,DEN,L,112,126,45,86,0.523,13,31,0.419,9,20,0.450,9,39,29,7,6,16,17,,51,99,0.515,11,30,0.367,13,15,0.867,15,49,31,11,3,12,22
5,5,2018-10-24,,MEM,W,97,92,35,83,0.422,6,18,0.333,21,33,0.636,15,57,19,7,5,14,15,,36,94,0.383,10,37,0.270,10,13,0.769,13,49,18,7,6,15,25
6,6,2018-10-26,,WAS,W,116,112,44,95,0.463,14,37,0.378,14,23,0.609,14,53,25,8,4,18,18,,40,86,0.465,14,42,0.333,18,23,0.783,5,42,22,8,7,21,27
7,7,2018-10-29,@,MIA,W,123,113,48,97,0.495,12,26,0.462,15,25,0.600,9,46,28,8,8,12,23,,38,92,0.413,13,39,0.333,24,34,0.706,13,52,20,10,9,18,21
8,8,2018-10-30,@,ORL,W,107,99,41,84,0.488,8,22,0.364,17,26,0.654,8,51,22,8,6,15,20,,36,91,0.396,11,43,0.256,16,22,0.727,11,48,28,10,8,16,22
9,9,2018-11-01,@,ATL,W,146,115,53,98,0.541,14,35,0.400,26,32,0.813,10,46,38,14,3,14,29,,42,87,0.483,8,31,0.258,23,34,0.676,10,43,26,6,6,22,28
10,10,2018-11-04,@,MIL,L,109,144,42,95,0.442,14,36,0.389,11,22,0.500,8,44,24,6,4,15,26,,46,95,0.484,22,56,0.393,30,33,0.909,10,56,30,6,7,12,20
11,11,2018-11-07,,TOR,L,105,114,42,88,0.477,8,23,0.348,13,18,0.722,6,31,27,10,5,15,26,,41,89,0.461,11,36,0.306,21,23,0.913,13,53,17,10,4,20,20
12,12,2018-11-09,,MIN,W,121,110,43,95,0.453,12,32,0.375,23,29,0.793,12,49,25,7,6,12,29,,39,94,0.415,7,25,0.280,25,31,0.806,15,52,20,6,1,17,23
13,13,2018-11-10,,LAL,L,86,101,32,92,0.348,6,25,0.240,16,20,0.800,13,50,11,7,5,19,20,,41,99,0.414,12,38,0.316,7,17,0.412,17,59,23,11,3,14,20
14,14,2018-11-12,,SAS,W,104,99,43,86,0.500,11,24,0.458,7,12,0.583,7,45,27,12,3,12,20,,38,87,0.437,10,31,0.323,13,16,0.813,9,43,25,5,4,15,12
15,15,2018-11-16,@,MEM,L,104,112,37,80,0.463,12,33,0.364,18,24,0.750,9,42,23,9,2,21,24,,43,85,0.506,11,25,0.440,15,24,0.625,9,40,24,11,5,13,23
16,16,2018-11-17,@,HOU,L,112,132,46,102,0.451,11,35,0.314,9,12,0.750,13,39,23,10,3,14,21,,46,81,0.568,20,47,0.426,20,24,0.833,6,41,27,9,10,22,20
17,17,2018-11-19,,OKC,W,117,113,45,102,0.441,16,38,0.421,11,17,0.647,14,59,29,7,4,15,18,,45,108,0.417,12,41,0.293,11,16,0.688,13,53,22,8,3,13,22
18,18,2018-11-21,@,UTA,W,119,110,47,89,0.528,11,25,0.440,14,19,0.737,8,48,27,5,4,11,30,,38,88,0.432,12,39,0.308,22,31,0.710,12,46,21,7,7,10,21
19,19,2018-11-24,@,GSW,L,116,117,42,97,0.433,11,28,0.393,21,29,0.724,13,47,28,6,4,8,22,,41,88,0.466,10,34,0.294,25,29,0.862,12,54,28,5,6,14,24
20,20,2018-11-25,,UTA,L,112,133,40,85,0.471,9,23,0.391,23,31,0.742,7,36,20,10,7,17,25,,49,92,0.533,10,30,0.333,25,33,0.758,13,49,30,11,5,18,26
21,21,2018-11-29,,LAC,L,121,133,46,96,0.479,7,24,0.292,22,26,0.846,16,48,26,4,2,11,25,,50,90,0.556,12,28,0.429,21,28,0.750,8,38,25,7,5,9,21
22,22,2018-12-01,,IND,W,111,110,41,91,0.451,13,29,0.448,16,24,0.667,14,46,25,10,3,20,16,,43,82,0.524,10,24,0.417,14,18,0.778,6,42,32,11,5,25,26
23,23,2018-12-04,@,PHO,W,122,105,45,84,0.536,11,24,0.458,21,32,0.656,9,42,27,13,3,13,22,,38,87,0.437,12,43,0.279,17,21,0.810,13,43,27,9,4,21,27
24,24,2018-12-07,@,CLE,W,129,110,56,98,0.571,13,29,0.448,4,7,0.571,10,35,31,6,5,9,18,,43,81,0.531,10,26,0.385,14,19,0.737,7,35,20,4,0,16,17
25,25,2018-12-08,@,IND,L,97,107,38,90,0.422,9,32,0.281,12,15,0.800,12,43,24,9,8,13,21,,40,92,0.435,8,30,0.267,19,22,0.864,15,52,26,7,8,15,17
26,26,2018-12-10,@,CHI,W,108,89,40,88,0.455,16,37,0.432,12,15,0.800,10,42,28,16,4,16,15,,34,76,0.447,8,28,0.286,13,13,1.000,7,40,16,10,3,27,17
27,27,2018-12-12,,MIN,W,141,130,50,86,0.581,19,38,0.500,22,32,0.688,9,38,34,3,6,10,21,,50,93,0.538,9,22,0.409,21,27,0.778,12,39,30,4,4,11,24
28,28,2018-12-14,,GSW,L,125,130,45,96,0.469,15,44,0.341,20,25,0.800,7,42,33,6,3,13,28,,44,96,0.458,15,40,0.375,27,36,0.750,15,60,32,5,0,18,23
29,29,2018-12-16,@,DAL,W,120,113,46,98,0.469,9,31,0.290,19,21,0.905,11,47,20,6,7,9,26,,40,96,0.417,9,35,0.257,24,31,0.774,16,53,22,6,5,14,18
30,30,2018-12-17,@,MIN,L,105,132,38,90,0.422,14,38,0.368,15,23,0.652,6,38,20,5,4,15,27,,48,96,0.500,10,27,0.370,26,30,0.867,11,58,37,10,7,11,24
31,31,2018-12-19,,OKC,L,113,132,39,93,0.419,13,34,0.382,22,33,0.667,10,43,28,7,5,13,18,,51,102,0.500,13,32,0.406,17,27,0.630,18,66,27,8,6,17,24
32,32,2018-12-21,,MEM,W,102,99,33,88,0.375,15,41,0.366,21,29,0.724,12,42,25,10,5,9,15,,37,80,0.463,16,32,0.500,9,10,0.900,8,44,24,7,8,18,25
33,33,2018-12-23,,NOP,W,122,117,42,100,0.420,14,31,0.452,24,33,0.727,12,50,26,9,4,9,21,,44,94,0.468,6,26,0.231,23,28,0.821,12,58,26,6,9,12,29
34,34,2018-12-26,@,LAC,L,118,127,49,104,0.471,10,30,0.333,10,15,0.667,12,43,26,8,10,13,21,,48,96,0.500,12,28,0.429,19,23,0.826,14,50,23,7,6,12,20
35,35,2018-12-27,,LAL,W,117,116,45,101,0.446,10,29,0.345,17,21,0.810,16,48,25,10,5,14,20,,45,88,0.511,10,25,0.400,16,23,0.696,9,46,25,7,5,17,19
36,36,2018-12-30,@,LAL,L,114,121,46,95,0.484,13,34,0.382,9,12,0.750,9,45,24,8,5,13,23,,47,98,0.480,15,44,0.341,12,20,0.600,12,50,30,7,5,14,17
37,37,2019-01-01,,POR,L,108,113,44,115,0.383,11,33,0.333,9,12,0.750,14,53,24,13,4,13,23,,39,90,0.433,9,32,0.281,26,30,0.867,10,56,22,11,10,18,19
38,38,2019-01-03,,DEN,L,113,117,45,90,0.500,13,31,0.419,10,15,0.667,7,33,25,5,3,8,23,,41,89,0.461,14,39,0.359,21,30,0.700,16,54,24,3,3,14,20
39,39,2019-01-05,,GSW,L,123,127,46,97,0.474,20,36,0.556,11,14,0.786,14,43,34,12,0,8,18,,47,93,0.505,21,47,0.447,12,14,0.857,12,47,29,5,8,13,16
40,40,2019-01-07,,ORL,W,111,95,45,98,0.459,10,34,0.294,11,20,0.550,9,57,24,11,4,9,18,,32,87,0.368,13,37,0.351,18,24,0.750,5,46,15,8,1,16,15
41,41,2019-01-08,@,PHO,L,111,115,38,80,0.475,15,29,0.517,20,29,0.690,12,43,26,11,5,25,19,,45,88,0.511,10,25,0.400,15,19,0.789,9,37,31,18,7,19,25
42,42,2019-01-10,,DET,W,112,102,44,86,0.512,9,22,0.409,15,20,0.750,11,47,29,7,8,19,22,,35,82,0.427,11,38,0.289,21,24,0.875,9,37,22,13,3,19,21
